utterance_id,activation,valence,dominance,activation_norm,valence_norm,dominance_norm,source_file,text
Ses01F_impro01_F001,1,4,2,0.0,0.75,0.25,Ses01F_atr.txt,I've been feeling doubtful lately.
Ses01M_script01_M002,4,3,2,0.75,0.5,0.25,Ses01M_atr.txt,The atmosphere feels eager.
Ses01M_script01_M003,5,3,4,1.0,0.5,0.75,Ses01M_atr.txt,I feel dynamic today.
Ses01M_impro01_M004,3,2,4,0.5,0.25,0.75,Ses01M_atr.txt,"While the presentation was unpleasant, the audience response was hyper."
Ses01F_impro01_F005,4,3,3,0.75,0.5,0.5,Ses01F_atr.txt,I can't help but feel great right now.
Ses01M_script01_M006,4,5,2,0.75,1.0,0.25,Ses01M_atr.txt,The team is fearful about the project.
Ses01M_impro01_M007,3,3,4,0.5,0.5,0.75,Ses01M_atr.txt,The atmosphere feels wild.
Ses01F_script01_F008,2,1,1,0.25,0.0,0.0,Ses01F_atr.txt,We were all helpless after hearing the news.
Ses01M_impro01_M009,5,2,4,1.0,0.25,0.75,Ses01M_atr.txt,I can't help but feel downcast right now.
Ses01M_impro01_M010,1,5,1,0.0,1.0,0.0,Ses01M_atr.txt,"Although the situation seems insecure, I believe it will become insecure soon."
Ses01F_script01_F011,5,3,4,1.0,0.5,0.75,Ses01F_atr.txt,This outcome is influential for me.
Ses01M_script01_M012,3,2,1,0.5,0.25,0.0,Ses01M_atr.txt,What started as a bad conversation quickly turned terrible.
Ses01F_script01_F013,3,1,5,0.5,0.0,1.0,Ses01F_atr.txt,I feel exhilarated today.
Ses01M_impro01_M014,3,1,5,0.5,0.0,1.0,Ses01M_atr.txt,"While the presentation was influential, the audience response was disheartening."
Ses01F_script01_F015,3,2,1,0.5,0.25,0.0,Ses01F_atr.txt,I'm vulnerable because of the recent events.
Ses01F_impro01_F016,4,2,2,0.75,0.25,0.25,Ses01F_atr.txt,"Although the situation seems inadequate, I believe it will become agitated soon."
Ses01F_impro01_F017,3,3,2,0.5,0.5,0.25,Ses01F_atr.txt,"The team was afraid about the deadline, but negative about the quality of work."
Ses01F_impro01_F018,2,3,2,0.25,0.5,0.25,Ses01F_atr.txt,The atmosphere feels fearful.
Ses01M_script01_M019,2,1,4,0.25,0.0,0.75,Ses01M_atr.txt,That experience was negative.
Ses01M_script02_M001,4,2,1,0.75,0.25,0.0,Ses01M_atr.txt,"Although the situation seems weak, I believe it will become energetic soon."
Ses01F_script02_F002,3,1,3,0.5,0.0,0.5,Ses01F_atr.txt,That experience was unfortunate.
Ses01F_script02_F003,4,4,2,0.75,0.75,0.25,Ses01F_atr.txt,The movie had a energetic beginning but a glad ending.
Ses01F_script02_F004,4,4,5,0.75,0.75,1.0,Ses01F_atr.txt,This outcome is potent for me.
Ses01F_script02_F005,4,4,4,0.75,0.75,0.75,Ses01F_atr.txt,That experience was ecstatic.
Ses01M_script02_M006,2,3,5,0.25,0.5,1.0,Ses01M_atr.txt,The atmosphere feels bold.
Ses01M_script02_M007,4,1,5,0.75,0.0,1.0,Ses01M_atr.txt,"I was upset at first, but after thinking about it, I feel assertive."
Ses01F_impro02_F008,2,5,1,0.25,1.0,0.0,Ses01F_atr.txt,I am anxious about what happened.
Ses01M_impro02_M009,2,2,3,0.25,0.25,0.5,Ses01M_atr.txt,"The feedback was mostly apathetic, with some determined comments mixed in."
Ses01M_script02_M010,3,1,1,0.5,0.0,0.0,Ses01M_atr.txt,This outcome is fearful for me.
